# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Mon Apr 20 18:15:26 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: simulations of mass 10000 Msun
# Z         age       Mini           Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00004384  1.37e+10  0.6609301567   0.661 -0.276  3.7713  4.571    1  0.000  0.542     0.00     0.00 -1 -4.23e-14      0.00 8.317e-01 1.682e-01 1.263e-05 3.419e-06 3.110e-05 -1.000 1.000e-04 5.461 5.856 6.116 5.615 5.259 4.915 4.502 4.166 4.119
0.00004384  1.37e+10  0.2281118780   0.226 -1.817  3.6304  5.082    1  0.000  0.545     0.00     0.00 -1 -4.31e-16      0.00 7.362e-01 2.637e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 9.311 11.613 10.996 9.930 9.203 8.587 7.812 7.296 7.131
0.00004384  1.37e+10  0.5725638270   0.571 -0.698  3.7208  4.728    1  0.000  0.544     0.00     0.00 -1 -1.37e-14      0.00 7.961e-01 2.038e-01 1.493e-05 4.033e-06 3.661e-05 -1.000 9.963e-05 6.514 7.353 7.425 6.740 6.280 5.848 5.322 4.921 4.830
0.00004384  1.37e+10  0.3299438655   0.329 -1.502  3.6486  5.004    1  0.000  0.544     0.00     0.00 -1 -3.89e-16      0.00 7.367e-01 2.632e-01 1.796e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.526 10.478 10.019 9.034 8.375 7.800 7.080 6.581 6.426
0.00004384  1.37e+10  0.3906815648   0.390 -1.349  3.6589  4.966    1  0.000  0.545     0.00     0.00 -1 -5.67e-16      0.00 7.465e-01 2.534e-01 1.797e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 8.143 9.911 9.539 8.595 7.970 7.417 6.727 6.241 6.094
0.00004384  1.37e+10  0.1637953967   0.163 -2.128  3.6135  5.184    1  0.000  0.545     0.00     0.00 -1 -3.04e-16      0.00 7.365e-01 2.634e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 10.090 12.749 11.975 10.821 10.021 9.365 8.540 8.023 7.862
0.00004384  1.37e+10  0.1950640231   0.194 -1.958  3.6228  5.126    1  0.000  0.545     0.00     0.00 -1 -5.64e-16      0.00 7.361e-01 2.638e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 9.665 12.124 11.438 10.334 9.575 8.941 8.144 7.625 7.460
0.00004384  1.37e+10  0.1821648180   0.181 -2.023  3.6193  5.148    1  0.000  0.545     0.00     0.00 -1  -6.8e-16      0.00 7.362e-01 2.637e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 9.827 12.360 11.641 10.519 9.745 9.103 8.295 7.777 7.612
0.00004384  1.37e+10  0.4735828936   0.473 -1.098  3.6809  4.886    1  0.000  0.545     0.00     0.00 -1 -5.26e-15      0.00 7.516e-01 2.483e-01 1.792e-05 4.836e-06 4.386e-05 -1.000 9.996e-05 7.515 8.910 8.719 7.866 7.308 6.800 6.171 5.714 5.587
0.00004384  1.37e+10  0.1468416452   0.146 -2.242  3.6068  5.224    1  0.000  0.545     0.00     0.00 -1  -4.4e-17      0.00 7.373e-01 2.626e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.374 13.188 12.346 11.153 10.322 9.648 8.804 8.291 8.135
0.00004384  1.37e+10  0.3668461144   0.366 -1.410  3.6547  4.982    1  0.000  0.544     0.00     0.00 -1 -8.68e-16      0.00 7.403e-01 2.596e-01 1.796e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.294 10.137 9.729 8.769 8.130 7.568 6.866 6.375 6.224
0.00004384  1.37e+10  0.1380612254   0.137 -2.315  3.6017  5.250    1  0.000  0.545     0.00     0.00 -1 -1.22e-16      0.00 7.382e-01 2.617e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.001e-04 10.558 13.491 12.597 11.373 10.519 9.831 8.971 8.464 8.312
0.00004384  1.37e+10  0.2496515363   0.248 -1.735  3.6348  5.059    1  0.000  0.545     0.00     0.00 -1 -3.95e-16      0.00 7.363e-01 2.636e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 9.107 11.321 10.743 9.697 8.987 8.382 7.620 7.108 6.944
0.00004384  1.37e+10  0.5478339791   0.547 -0.806  3.7082  4.767    1  0.000  0.544     0.00     0.00 -1 -1.01e-14      0.00 7.870e-01 2.129e-01 1.553e-05 4.195e-06 3.806e-05 -1.000 9.996e-05 6.786 7.781 7.781 7.043 6.555 6.100 5.542 5.123 5.021
0.00004384  1.37e+10  0.1458136886   0.145 -2.250  3.6062  5.227    1  0.000  0.545     0.00     0.00 -1 -4.95e-17      0.00 7.374e-01 2.625e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.395 13.223 12.375 11.179 10.345 9.670 8.823 8.312 8.156
0.00004384  1.37e+10  0.3708570004   0.370 -1.400  3.6554  4.979    1  0.000  0.544     0.00     0.00 -1 -8.08e-16      0.00 7.413e-01 2.586e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.269 10.099 9.697 8.740 8.103 7.543 6.843 6.353 6.202
0.00004384  1.37e+10  0.1425715238   0.142 -2.277  3.6043  5.236    1  0.000  0.545     0.00     0.00 -1 -7.22e-17      0.00 7.378e-01 2.621e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.463 13.335 12.468 11.260 10.418 9.737 8.885 8.375 8.221
0.00004384  1.37e+10  0.5362537503   0.535 -0.856  3.7035  4.788    1  0.000  0.544     0.00     0.00 -1 -9.09e-15      0.00 7.782e-01 2.217e-01 1.613e-05 4.353e-06 3.950e-05 -1.000 9.996e-05 6.909 7.968 7.938 7.181 6.681 6.217 5.647 5.221 5.115
0.00004384  1.37e+10  0.1296982765   0.129 -2.385  3.5969  5.274    1  0.000  0.545     0.00     0.00 -1 -3.22e-16      0.00 7.390e-01 2.609e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 10.733 13.785 12.839 11.584 10.706 10.005 9.130 8.630 8.483
0.00004384  1.37e+10  0.1968134344   0.195 -1.949  3.6232  5.123    1  0.000  0.545     0.00     0.00 -1  -5.5e-16      0.00 7.361e-01 2.638e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 9.643 12.092 11.410 10.309 9.552 8.919 8.123 7.605 7.440
0.00004384  1.37e+10  0.1880852282   0.187 -1.993  3.6209  5.138    1  0.000  0.545     0.00     0.00 -1 -6.24e-16      0.00 7.362e-01 2.637e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 9.753 12.251 11.548 10.434 9.667 9.028 8.226 7.707 7.542
0.00004384  1.37e+10  0.4170864820   0.416 -1.277  3.6647  4.945    1  0.000  0.545     0.00     0.00 -1 -9.11e-16      0.00 7.502e-01 2.497e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 7.963 9.629 9.306 8.386 7.780 7.239 6.565 6.087 5.944
0.00004384  1.37e+10  0.1505137682   0.150 -2.214  3.6086  5.214    1  0.000  0.545     0.00     0.00 -1 -4.17e-17      0.00 7.370e-01 2.629e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.990e-05 10.304 13.074 12.252 11.070 10.248 9.578 8.739 8.225 8.067
0.00004384  1.37e+10  0.5068573952   0.506 -0.981  3.6915  4.842    1  0.000  0.545     0.00     0.00 -1 -6.95e-15      0.00 7.560e-01 2.439e-01 1.763e-05 4.756e-06 4.314e-05 -1.000 1.000e-04 7.223 8.453 8.341 7.533 7.003 6.516 5.915 5.472 5.356
